TIME,LABEL
0.423764172
0.876553288,132.512BPM
1.340952381,129.199BPM
1.805351474,129.199BPM
2.269750567,129.199BPM
2.734149660,129.199BPM
3.221768707,123.047BPM
3.697777778,126.048BPM
4.173786848,126.048BPM
4.673015873,120.185BPM
5.137414966,129.199BPM
5.613424036,126.048BPM
6.089433107,126.048BPM
6.460952381,161.499BPM
6.960181406,120.185BPM
7.447800454,123.047BPM
7.958639456,117.454BPM
8.353378685,151.999BPM
8.852607710,120.185BPM
9.328616780,126.048BPM
9.793015873,129.199BPM
10.269024943,126.048BPM
10.745034014,126.048BPM
11.197823129,132.512BPM
11.662222222,129.199BPM
12.126621315,129.199BPM
12.591020408,129.199BPM
13.055419501,129.199BPM
13.519818594,129.199BPM
13.984217687,129.199BPM
14.448616780,129.199BPM
14.913015873,129.199BPM
15.377414966,129.199BPM
15.841814059,129.199BPM
16.306213152,129.199BPM
16.793832200,123.047BPM
17.269841270,126.048BPM
17.745850340,126.048BPM
18.221859410,126.048BPM
18.674648526,132.512BPM
19.139047619,129.199BPM
19.603446712,129.199BPM
20.091065760,123.047BPM
20.567074830,126.048BPM
21.043083900,126.048BPM
21.542312925,120.185BPM
22.029931973,123.047BPM
22.517551020,123.047BPM
22.981950113,129.199BPM
23.457959184,126.048BPM
23.864308390,147.656BPM
24.317097506,132.512BPM
24.781496599,129.199BPM
25.245895692,129.199BPM
25.710294785,129.199BPM
26.174693878,129.199BPM
26.639092971,129.199BPM
27.126712018,123.047BPM
27.602721088,126.048BPM
28.078730159,126.048BPM
28.554739229,126.048BPM
29.030748299,126.048BPM
29.483537415,132.512BPM
29.924716553,135.999BPM
30.377505669,132.512BPM
30.830294785,132.512BPM
31.283083900,132.512BPM
31.759092971,126.048BPM
32.223492063,129.199BPM
32.687891156,129.199BPM
33.129070295,135.999BPM
33.581859410,132.512BPM
34.034648526,132.512BPM
34.487437642,132.512BPM
34.940226757,132.512BPM
35.393015873,132.512BPM
35.845804989,132.512BPM
36.321814059,126.048BPM
36.809433107,123.047BPM
37.285442177,126.048BPM
37.738231293,132.512BPM
38.179410431,135.999BPM
38.632199546,132.512BPM
39.084988662,132.512BPM
39.537777778,132.512BPM
40.013786848,126.048BPM
40.454965986,135.999BPM
40.930975057,126.048BPM
41.395374150,129.199BPM
41.859773243,129.199BPM
42.347392290,123.047BPM
42.823401361,126.048BPM
43.299410431,126.048BPM
43.775419501,126.048BPM
44.448798186,89.1029BPM
44.924807256,126.048BPM
45.400816327,126.048BPM
45.876825397,126.048BPM
46.329614512,132.512BPM
46.794013605,129.199BPM
47.258412698,129.199BPM
47.722811791,129.199BPM
48.210430839,123.047BPM
48.686439909,126.048BPM
49.162448980,126.048BPM
49.638458050,126.048BPM
50.091247166,132.512BPM
50.555646259,129.199BPM
51.043265306,123.047BPM
51.542494331,120.185BPM
52.030113379,123.047BPM
52.517732426,123.047BPM
52.982131519,129.199BPM
53.458140590,126.048BPM
53.829659864,161.499BPM
54.305668934,126.048BPM
54.781678005,126.048BPM
55.234467120,132.512BPM
55.722086168,123.047BPM
56.174875283,132.512BPM
56.639274376,129.199BPM
57.103673469,129.199BPM
57.544852608,135.999BPM
57.997641723,132.512BPM
58.473650794,126.048BPM
58.938049887,129.199BPM
59.425668934,123.047BPM
59.901678005,126.048BPM
60.377687075,126.048BPM
60.876916100,120.185BPM
