TIME,LABEL
61.364535147,123.047BPM
61.852154195,123.047BPM
62.339773243,123.047BPM
62.827392290,123.047BPM
63.315011338,123.047BPM
63.802630385,123.047BPM
64.197369615,151.999BPM
64.638548753,135.999BPM
65.102947846,129.199BPM
65.578956916,126.048BPM
66.043356009,129.199BPM
66.507755102,129.199BPM
66.995374150,123.047BPM
67.448163265,132.512BPM
67.935782313,123.047BPM
68.411791383,126.048BPM
68.887800454,126.048BPM
69.363809524,126.048BPM
69.839818594,126.048BPM
70.315827664,126.048BPM
70.768616780,132.512BPM
71.209795918,135.999BPM
71.662585034,132.512BPM
72.138594104,126.048BPM
72.602993197,129.199BPM
73.067392290,129.199BPM
73.555011338,123.047BPM
74.031020408,126.048BPM
74.507029478,126.048BPM
74.983038549,126.048BPM
75.435827664,132.512BPM
75.877006803,135.999BPM
76.329795918,132.512BPM
76.782585034,132.512BPM
77.235374150,132.512BPM
77.711383220,126.048BPM
78.199002268,123.047BPM
78.675011338,126.048BPM
79.151020408,126.048BPM
79.650249433,120.185BPM
80.137868481,123.047BPM
80.602267574,129.199BPM
81.078276644,126.048BPM
81.554285714,126.048BPM
82.030294785,126.048BPM
82.506303855,126.048BPM
82.982312925,126.048BPM
83.481541950,120.185BPM
83.969160998,123.047BPM
84.456780045,123.047BPM
84.944399093,123.047BPM
85.432018141,123.047BPM
85.919637188,123.047BPM
86.407256236,123.047BPM
86.894875283,123.047BPM
87.382494331,123.047BPM
87.870113379,123.047BPM
88.334512472,129.199BPM
88.787301587,132.512BPM
89.251700680,129.199BPM
89.739319728,123.047BPM
90.215328798,126.048BPM
90.668117914,132.512BPM
91.155736961,123.047BPM
91.654965986,120.185BPM
92.119365079,129.199BPM
92.595374150,126.048BPM
93.071383220,126.048BPM
93.524172336,132.512BPM
93.988571429,129.199BPM
94.452970522,129.199BPM
94.940589569,123.047BPM
95.416598639,126.048BPM
95.869387755,132.512BPM
96.357006803,123.047BPM
96.833015873,126.048BPM
97.285804989,132.512BPM
97.726984127,135.999BPM
98.156553288,139.675BPM
98.620952381,129.199BPM
99.073741497,132.512BPM
99.526530612,132.512BPM
99.956099773,139.675BPM
100.397278912,135.999BPM
100.838458050,135.999BPM
101.279637188,135.999BPM
101.720816327,135.999BPM
102.161995465,135.999BPM
102.603174603,135.999BPM
103.021133787,143.555BPM
103.450702948,139.675BPM
103.880272109,139.675BPM
104.309841270,139.675BPM
104.739410431,139.675BPM
105.192199546,132.512BPM
105.633378685,135.999BPM
106.074557823,135.999BPM
106.492517007,143.555BPM
106.922086168,139.675BPM
107.351655329,139.675BPM
107.781224490,139.675BPM
108.210793651,139.675BPM
108.640362812,139.675BPM
109.069931973,139.675BPM
109.499501134,139.675BPM
109.929070295,139.675BPM
110.428299320,120.185BPM
110.915918367,123.047BPM
111.391927438,126.048BPM
111.867936508,126.048BPM
112.343945578,126.048BPM
112.796734694,132.512BPM
113.261133787,129.199BPM
113.725532880,129.199BPM
114.189931973,129.199BPM
114.654331066,129.199BPM
115.118730159,129.199BPM
115.606349206,123.047BPM
116.082358277,126.048BPM
116.535147392,132.512BPM
117.022766440,123.047BPM
117.475555556,132.512BPM
117.939954649,129.199BPM
118.381133787,135.999BPM
118.833922902,132.512BPM
119.286712018,132.512BPM
119.739501134,132.512BPM
120.169070295,139.675BPM
120.610249433,135.999BPM
121.051428571,135.999BPM
121.492607710,135.999BPM
121.933786848,135.999BPM
122.374965986,135.999BPM
122.816145125,135.999BPM
123.257324263,135.999BPM
123.721723356,129.199BPM
124.174512472,132.512BPM
124.650521542,126.048BPM
125.091700680,135.999BPM
125.521269841,139.675BPM
125.962448980,135.999BPM
126.380408163,143.555BPM
126.809977324,139.675BPM
127.262766440,132.512BPM
127.703945578,135.999BPM
128.145124717,135.999BPM
128.586303855,135.999BPM
129.027482993,135.999BPM
129.468662132,135.999BPM
129.909841270,135.999BPM
130.351020408,135.999BPM
130.792199546,135.999BPM
131.233378685,135.999BPM
131.674557823,135.999BPM
132.115736961,135.999BPM
132.556916100,135.999BPM
132.998095238,135.999BPM
133.439274376,135.999BPM
133.880453515,135.999BPM
134.321632653,135.999BPM
134.762811791,135.999BPM
135.203990930,135.999BPM
135.645170068,135.999BPM
136.086349206,135.999BPM
136.527528345,135.999BPM
136.968707483,135.999BPM
137.409886621,135.999BPM
137.851065760,135.999BPM
138.292244898,135.999BPM
138.756643991,129.199BPM
139.186213152,139.675BPM
139.627392290,135.999BPM
140.068571429,135.999BPM
140.509750567,135.999BPM
140.950929705,135.999BPM
141.392108844,135.999BPM
141.833287982,135.999BPM
142.274467120,135.999BPM
142.715646259,135.999BPM
143.156825397,135.999BPM
143.598004535,135.999BPM
144.039183673,135.999BPM
144.480362812,135.999BPM
144.898321995,143.555BPM
145.351111111,132.512BPM
145.792290249,135.999BPM
146.233469388,135.999BPM
146.674648526,135.999BPM
147.139047619,129.199BPM
147.591836735,132.512BPM
148.044625850,132.512BPM
148.474195011,139.675BPM
148.892154195,143.555BPM
149.298503401,147.656BPM
149.739682540,135.999BPM
150.192471655,132.512BPM
150.656870748,129.199BPM
151.109659864,132.512BPM
151.585668934,126.048BPM
151.980408163,151.999BPM
152.421587302,135.999BPM
152.897596372,126.048BPM
153.361995465,129.199BPM
153.826394558,129.199BPM
154.290793651,129.199BPM
154.755192744,129.199BPM
155.219591837,129.199BPM
155.683990930,129.199BPM
156.148390023,129.199BPM
156.612789116,129.199BPM
157.053968254,135.999BPM
157.483537415,139.675BPM
157.901496599,143.555BPM
158.354285714,132.512BPM
158.795464853,135.999BPM
159.236643991,135.999BPM
159.677823129,135.999BPM
160.119002268,135.999BPM
160.536961451,143.555BPM
160.989750567,132.512BPM
161.430929705,135.999BPM
161.895328798,129.199BPM
162.324897959,139.675BPM
162.766077098,135.999BPM
163.207256236,135.999BPM
163.834195011,95.7031BPM
164.298594104,129.199BPM
164.751383220,132.512BPM
165.204172336,132.512BPM
165.656961451,132.512BPM
166.086530612,139.675BPM
166.504489796,143.555BPM
166.957278912,132.512BPM
167.398458050,135.999BPM
167.839637188,135.999BPM
168.304036281,129.199BPM
168.756825397,132.512BPM
169.209614512,132.512BPM
169.662403628,132.512BPM
170.091972789,139.675BPM
170.509931973,143.555BPM
170.916281179,147.656BPM
171.334240363,143.555BPM
171.775419501,135.999BPM
172.204988662,139.675BPM
172.634557823,139.675BPM
173.087346939,132.512BPM
173.528526077,135.999BPM
173.969705215,135.999BPM
174.434104308,129.199BPM
174.886893424,132.512BPM
175.339682540,132.512BPM
175.792471655,132.512BPM
176.245260771,132.512BPM
176.674829932,139.675BPM
177.116009070,135.999BPM
177.533968254,143.555BPM
177.963537415,139.675BPM
178.393106576,139.675BPM
178.822675737,139.675BPM
179.321904762,120.185BPM
179.786303855,129.199BPM
180.250702948,129.199BPM
180.715102041,129.199BPM
181.179501134,129.199BPM
181.620680272,135.999BPM
182.050249433,139.675BPM
182.514648526,129.199BPM
182.944217687,139.675BPM
183.362176871,143.555BPM
183.768526077,147.656BPM
184.186485261,143.555BPM
184.627664399,135.999BPM
185.080453515,132.512BPM
185.521632653,135.999BPM
185.986031746,129.199BPM
186.438820862,132.512BPM
186.891609977,132.512BPM
187.321179138,139.675BPM
187.739138322,143.555BPM
188.191927438,132.512BPM
188.633106576,135.999BPM
189.074285714,135.999BPM
189.515464853,135.999BPM
189.956643991,135.999BPM
190.397823129,135.999BPM
190.839002268,135.999BPM
191.280181406,135.999BPM
191.721360544,135.999BPM
192.162539683,135.999BPM
192.603718821,135.999BPM
193.044897959,135.999BPM
193.462857143,143.555BPM
193.892426304,139.675BPM
194.345215420,132.512BPM
194.786394558,135.999BPM
195.227573696,135.999BPM
195.691972789,129.199BPM
196.144761905,132.512BPM
196.620770975,126.048BPM
197.061950113,135.999BPM
197.514739229,132.512BPM
197.967528345,132.512BPM
198.397097506,139.675BPM
198.838276644,135.999BPM
199.256235828,143.555BPM
199.662585034,147.656BPM
200.080544218,143.555BPM
200.521723356,135.999BPM
200.974512472,132.512BPM
201.438911565,129.199BPM
201.868480726,139.675BPM
202.309659864,135.999BPM
202.774058957,129.199BPM
203.203628118,139.675BPM
203.644807256,135.999BPM
204.085986395,135.999BPM
204.527165533,135.999BPM
204.968344671,135.999BPM
205.409523810,135.999BPM
205.850702948,135.999BPM
206.291882086,135.999BPM
206.733061224,135.999BPM
207.174240363,135.999BPM
207.615419501,135.999BPM
208.056598639,135.999BPM
208.474557823,143.555BPM
208.904126984,139.675BPM
209.356916100,132.512BPM
209.821315193,129.199BPM
210.274104308,132.512BPM
210.703673469,139.675BPM
211.144852608,135.999BPM
211.562811791,143.555BPM
211.992380952,139.675BPM
212.445170068,132.512BPM
212.909569161,129.199BPM
213.362358277,132.512BPM
213.815147392,132.512BPM
214.267936508,132.512BPM
214.697505669,139.675BPM
215.138684807,135.999BPM
215.579863946,135.999BPM
216.021043084,135.999BPM
216.439002268,143.555BPM
216.891791383,132.512BPM
217.332970522,135.999BPM
217.774149660,135.999BPM
218.215328798,135.999BPM
218.656507937,135.999BPM
219.097687075,135.999BPM
219.562086168,129.199BPM
220.014875283,132.512BPM
220.444444444,139.675BPM
220.862403628,143.555BPM
221.315192744,132.512BPM
221.756371882,135.999BPM
222.197551020,135.999BPM
222.661950113,129.199BPM
223.137959184,126.048BPM
223.602358277,129.199BPM
224.066757370,129.199BPM
224.531156463,129.199BPM
224.995555556,129.199BPM
225.436734694,135.999BPM
225.866303855,139.675BPM
226.237823129,161.499BPM
226.644172336,147.656BPM
227.073741497,139.675BPM
227.514920635,135.999BPM
227.967709751,132.512BPM
228.432108844,129.199BPM
228.884897959,132.512BPM
229.314467120,139.675BPM
229.755646259,135.999BPM
230.220045351,129.199BPM
230.696054422,126.048BPM
231.160453515,129.199BPM
231.624852608,129.199BPM
232.112471655,123.047BPM
232.588480726,126.048BPM
233.064489796,126.048BPM
233.540498866,126.048BPM
233.993287982,132.512BPM
234.457687075,129.199BPM
234.922086168,129.199BPM
235.386485261,129.199BPM
235.850884354,129.199BPM
236.315283447,129.199BPM
236.779682540,129.199BPM
